u,g,r,i,z,redshift,object_class
23.22973,21.78071,20.8066,20.5216,19.89502,0.0005475296,STAR
22.6013,21.8289,20.18779,19.2555,18.90526,0.4846579,GALAXY
21.70075,20.4659,20.25792,19.98312,19.75228,-0.0005749892,STAR
20.92841,19.62559,19.47965,19.05124,19.10508,5.463521e-05,STAR
20.81796,19.48606,18.94312,18.6937,18.50397,-0.001256444,STAR
23.51236,23.47375,23.24541,21.54165,19.52259,-0.005675106,GALAXY
21.03221,20.52654,20.17051,19.77734,19.61629,1.746977,QSO
21.19093,19.4157,17.96514,17.4262,17.06445,0.2520657,GALAXY
22.34037,21.63205,21.3539,21.21754,21.27331,1.043412,QSO
21.09985,20.70087,20.59092,20.3506,20.28568,0.7821935,QSO
20.19789,20.27164,19.66872,19.19859,19.1399,1.782364,QSO
22.26751,22.36438,20.63943,19.45094,18.85444,0.6347604,GALAXY
20.33406,18.49044,17.09527,16.58319,16.19967,0.220548,GALAXY
19.11359,18.12746,17.81929,17.69706,17.66137,0.0004318611,STAR
21.76472,19.56367,17.95155,17.35308,16.99105,0.3060146,GALAXY
22.40547,20.78978,20.1413,19.8692,19.75255,-0.0001056279,STAR
18.34287,17.88123,17.64557,17.60826,17.46417,2.159405,QSO
22.3966,22.63902,22.33369,21.55676,22.6887,0.7804171,GALAXY
21.86076,20.89565,20.56648,20.5288,20.47935,-0.0001596318,STAR
23.2485,21.28226,21.06076,21.11761,21.08944,2.982918,QSO
19.84203,18.50065,17.75752,17.36155,17.0976,0.1425439,GALAXY
22.82319,22.22885,22.35882,22.04231,22.40268,1.642061,QSO
17.70103,16.7377,16.39313,16.26926,16.20416,0.0002836953,STAR
23.63967,25.42863,22.1188,21.11702,19.94367,0.8410293,GALAXY
20.50141,20.65176,20.32071,20.3641,20.21779,1.39602,QSO
19.95519,17.97577,17.13164,16.81974,16.64182,-0.0002589749,STAR
25.82912,21.42838,21.21047,21.07515,21.49922,3.31287,QSO
19.1535,17.52248,16.83788,16.52558,16.28224,0.05084571,GALAXY
23.17567,21.97535,21.55107,21.36223,20.93019,-0.0001946559,STAR
22.31102,20.39363,18.69852,18.03756,17.52985,0.3751344,GALAXY
22.86195,22.62759,20.6482,19.3989,18.90756,0.6703934,GALAXY
21.44517,19.41943,17.95468,17.39523,17.06366,0.2674517,GALAXY
17.93123,17.98849,18.37511,18.64214,18.80367,0.0001126093,STAR
20.33442,18.98547,17.22948,17.71667,16.76079,0.2233318,GALAXY
23.25084,20.8588,19.045,18.34898,17.85697,0.3401554,GALAXY
25.00403,23.429,21.91125,20.50832,19.72949,0.0002771911,STAR
22.50451,23.02747,20.99501,19.90306,19.08998,0.5707499,GALAXY
23.53941,20.66464,19.15402,17.80095,17.05708,-1.994248e-05,STAR
24.00817,21.80663,21.59861,21.63557,20.64886,-0.0008838328,STAR
18.29405,17.13475,16.7272,16.57752,16.52727,0.0002287467,STAR
20.69242,20.15541,19.84843,19.40829,19.28453,1.713953,QSO
20.1076,19.76388,19.6769,19.54174,19.39122,0.7756873,QSO
22.07806,20.89301,20.88842,20.85669,20.73429,2.382323,QSO
23.37137,21.20748,20.1865,19.30804,18.92689,0.5856881,GALAXY
23.58635,21.64646,21.33885,21.14085,21.21264,-0.0002471299,STAR
25.67619,22.56674,21.01472,18.80403,17.65256,-4.74642e-05,STAR
19.97978,18.22096,17.45142,17.11201,16.83056,0.08243096,GALAXY
22.64249,21.19742,20.92408,20.86587,20.50352,2.915326,QSO
18.22115,17.08846,16.61503,16.40969,16.28984,-0.0001545037,STAR
21.74014,19.27121,17.78669,16.79077,16.23529,-1.679113e-05,STAR
22.07331,20.89544,20.53755,20.35404,20.27547,2.95646,QSO
27.4085,21.84492,20.15082,19.25461,18.8398,0.4711656,GALAXY
24.57643,24.37134,22.36102,21.23987,18.64098,-0.0001504418,STAR
24.04354,21.39894,19.51029,18.8779,18.46622,0.4004503,GALAXY
24.06203,23.88608,21.80467,20.71596,19.86867,0.6550337,GALAXY
21.03017,19.06952,18.21506,17.9206,17.73363,8.124866e-05,STAR
17.20395,15.89528,15.23516,14.8421,14.54815,0.04649088,GALAXY
21.41023,19.99097,19.93641,20.03777,20.05154,-0.0005656344,STAR
25.09811,20.34784,18.53199,17.88725,17.42331,0.3156455,GALAXY
22.82517,21.74456,21.7371,21.58099,21.0718,2.641498,QSO
23.76928,21.6045,21.43119,21.45921,21.39381,2.805379,QSO
22.05589,21.73744,21.67398,21.54754,21.84727,5.827251,QSO
21.53606,20.72851,20.24791,20.18332,19.92882,2.47131,QSO
24.63466,22.16452,21.38896,20.26791,22.8269,0.2014361,GALAXY
18.38255,17.48041,17.26761,17.16337,17.12511,-0.0003952211,STAR
20.90124,18.82145,17.61834,17.15229,16.8192,0.1754251,GALAXY
22.74612,21.51295,21.14907,20.85289,20.4243,1.480445,QSO
25.03234,22.66882,21.07646,19.27083,18.20005,5.163777e-05,STAR
22.46308,20.98424,20.50233,20.38966,20.16226,3.419974,QSO
21.87475,21.80889,21.54519,21.12158,20.43128,1.239146,GALAXY
20.35192,18.25203,17.34346,17.01702,16.83014,1.702464e-05,STAR
16.26923,15.14563,15.15529,15.24168,15.35373,-0.0001231222,STAR
23.94866,21.95459,20.13255,18.99368,18.50902,0.6000484,GALAXY
22.0829,21.84365,21.3097,21.55503,21.06417,0.2676248,GALAXY
21.06632,18.89258,17.87408,17.4316,17.08478,0.1099393,GALAXY
21.14911,20.68472,20.41427,20.2172,20.11147,1.387888,QSO
22.86831,20.33079,19.58692,19.28206,19.58877,0.0002172134,STAR
25.22146,22.23547,21.83089,21.07703,20.38993,0.7600031,GALAXY
21.95789,21.52029,21.22687,21.00526,20.12937,1.302793,GALAXY
19.78248,18.84938,18.12505,17.7739,17.54597,0.2268558,GALAXY
22.70283,21.32393,20.28729,19.58969,19.4106,0.576104,QSO
23.49084,22.23935,20.70016,19.63697,18.9771,0.6072489,GALAXY
20.83298,20.57082,20.41199,20.18402,20.00301,1.605603,QSO
19.13114,18.02558,17.38822,16.97725,16.78697,0.09984954,GALAXY
23.04957,22.77672,23.72239,22.96038,21.5682,1.176404,GALAXY
25.49845,22.51254,21.44207,21.21719,21.08613,3.603631,QSO
22.02809,21.01531,21.02209,21.01415,20.61374,2.589059,QSO
20.64608,19.67762,19.17599,18.98794,18.93736,2.226618,QSO
20.16117,18.76197,17.58754,17.08801,16.72944,0.2185539,GALAXY
20.33313,19.96429,19.92198,19.77632,19.70262,1.566953,QSO
22.76753,20.87958,19.12292,18.46296,18.05765,0.3248239,GALAXY
26.54665,22.56409,20.9616,19.80571,19.20393,0.6130806,GALAXY
19.51708,18.70837,17.73304,17.23801,16.95566,0.1621689,QSO
19.93901,18.51568,17.95237,17.75407,17.62215,-1.933153e-05,STAR
24.62271,22.46585,21.13427,20.34101,20.12118,-0.0004884495,STAR
24.8562,24.08323,21.79153,20.61238,19.93962,0.625469,GALAXY
25.27784,25.66732,22.1521,20.99307,19.72302,0.8305926,GALAXY
16.81065,15.94439,16.20005,16.42938,16.60388,-0.0001603742,STAR
18.0272,16.55822,15.93304,15.65956,15.53269,4.280722e-05,STAR
20.94063,20.81091,20.64437,20.29596,20.42587,1.573088,QSO
27.3314,22.06332,20.06448,19.07665,18.7366,0.5319332,GALAXY
22.74392,21.14956,20.89213,20.76216,20.87015,6.670883e-05,STAR
19.14027,17.19671,16.26802,15.84891,15.5232,0.07967213,GALAXY
19.01099,17.47425,16.86982,16.62164,16.52533,0.0001743435,STAR
20.08705,18.3515,17.50355,17.08836,16.79876,0.04404154,GALAXY
24.91427,25.42118,23.71888,21.68539,19.73934,-6.206816e-05,STAR
21.82646,22.40806,21.76745,20.73186,19.76981,0.8454652,GALAXY
25.44066,22.1649,20.83273,20.59782,20.55003,4.00281,QSO
20.01988,19.60551,19.54205,19.43154,19.16338,2.169612,QSO
24.22221,22.24304,20.91516,19.65876,18.85303,0.0002005938,STAR
23.14688,23.82832,23.04227,22.23993,21.48314,0.0,GALAXY
24.23682,23.31656,19.80264,18.36585,17.64032,5.752864e-05,STAR
21.83578,21.61373,21.32001,21.14297,21.02832,2.005431,QSO
22.7773,19.90182,18.55411,17.99863,17.68886,-7.896294e-06,STAR
23.24362,21.91922,20.07721,19.18384,18.7595,0.4821254,GALAXY
21.97985,21.35043,21.17899,20.77904,20.36575,1.703428,QSO
19.56934,19.3326,19.13186,19.16023,19.00674,1.062695,QSO
22.61822,21.16537,20.64396,20.50164,20.71032,0.0004804281,STAR
19.04752,18.1619,17.86432,17.75147,17.722,0.0003146183,STAR
21.63791,20.70093,20.47025,20.26799,20.62747,-6.848796e-05,STAR
22.70241,22.70977,20.52322,19.41106,18.9224,0.527176,GALAXY
12.2624,10.51139,10.06854,13.41786,10.22551,2.498567e-05,STAR
21.63505,20.98207,20.83195,20.46097,20.38184,1.831962,QSO
24.25198,22.11118,20.46412,19.54694,19.27717,0.5652826,GALAXY
22.75636,22.90763,20.33245,19.31921,18.78736,0.581692,GALAXY
20.14328,19.38413,18.70234,18.34575,18.09098,0.2681956,GALAXY
22.19628,20.03016,18.96054,18.47415,18.11686,-0.0002831188,STAR
20.03316,18.77668,18.28993,18.1017,18.02165,-0.0005514556,STAR
22.25537,21.0823,21.15192,21.34938,20.93738,-0.0001397442,STAR
17.07923,15.54978,15.01768,14.83619,14.77485,-7.013545e-05,STAR
23.28275,22.72019,20.58253,19.44282,18.83133,0.6008822,GALAXY
18.69,18.50952,18.77375,19.00207,19.24367,6.102321e-05,STAR
22.80575,20.54684,18.97301,18.22856,17.7745,-0.0001000124,STAR
25.76084,21.12506,20.19633,19.87481,19.84977,3.339803,QSO
19.08559,17.99712,17.32803,16.90451,16.65178,0.1199918,GALAXY
23.96213,26.88175,22.44767,20.96679,18.06011,0.0005559708,STAR
20.09265,19.53425,19.56123,19.54461,19.29767,2.424776,QSO
21.18653,21.04161,20.89463,20.67264,20.06149,2.018566,QSO
21.4931,21.43837,21.05136,21.00206,20.78062,1.137859,QSO
22.98404,22.05679,21.50399,21.67462,21.53181,0.2064435,GALAXY
25.10078,21.54602,19.95409,19.0648,18.55216,0.5038163,GALAXY
20.03289,19.43255,18.97838,18.9579,18.85332,0.953651,QSO
18.88141,17.54631,16.98043,16.72172,16.60805,0.000378209,STAR
21.63292,21.49343,21.20638,21.12427,21.16857,1.077206,QSO
17.58259,16.22597,15.65945,15.42644,15.31541,-0.0006915543,STAR
26.05339,21.70292,19.97325,19.17402,18.63321,0.4922606,GALAXY
21.44526,21.26734,21.2703,20.86702,20.72279,1.575942,QSO
17.35629,16.19057,16.2065,16.2536,16.3028,0.0008079999,STAR
20.2529,19.19896,19.09448,19.23158,19.16188,-0.0004644203,STAR
21.92918,21.35412,21.27395,21.33187,20.93994,0.0004160384,STAR
20.07544,20.0566,19.92584,19.96345,19.92462,0.8455766,QSO
26.25448,22.89119,20.91085,19.89156,19.444,0.4923619,GALAXY
19.06287,17.67596,17.14309,16.92003,16.81077,-0.0003789852,STAR
22.50053,21.7591,20.85574,20.66695,20.36843,0.3025534,GALAXY
21.95084,20.73352,20.68603,20.80359,20.83986,9.002073e-05,STAR
21.58611,19.35547,18.25146,17.76483,17.52172,-0.0003063481,STAR
22.13731,21.22984,21.12306,21.29714,21.41338,2.297748,QSO
18.63738,18.29874,18.3694,18.36102,18.3296,0.6632693,QSO
21.93911,21.18001,21.16085,21.15852,21.07984,2.540782,QSO
22.56429,21.97624,22.29358,22.10425,21.28542,3.07673,QSO
19.23808,17.6198,16.91812,16.64728,16.52038,-2.611842e-05,STAR
17.5352,16.54527,16.38887,16.34081,16.35126,-0.000390786,STAR
17.2509,15.84529,15.30757,15.14582,15.07561,-0.0002556708,STAR
22.08358,20.53122,18.72306,18.11214,17.69902,0.354811,GALAXY
22.53101,21.46798,20.09661,19.63213,19.30811,0.2340536,GALAXY
26.06306,22.71426,20.85377,19.88437,19.36231,0.5989623,GALAXY
22.63268,20.99329,20.73548,20.60037,20.3944,2.856944,QSO
22.32975,21.80622,20.65634,19.81875,19.39669,0.598012,GALAXY
26.24104,23.11961,21.44545,20.04728,19.17852,0.085493,QSO
21.66308,19.52658,18.61182,18.25242,18.04379,-4.285656e-05,STAR
20.68862,19.62347,19.51909,19.45682,19.52984,-0.000557881,STAR
22.84854,22.66115,22.68279,21.85423,22.12852,0.9746162,GALAXY
24.63468,22.03255,21.18051,19.98823,22.8269,-2.200375e-05,STAR
25.93617,22.9311,22.30446,21.88536,20.77182,0.8969542,GALAXY
18.91477,17.27639,16.62291,16.33698,16.16547,-5.140663e-05,STAR
19.40651,19.10874,18.67227,18.6058,18.53573,1.042237,QSO
19.81621,19.69738,19.73318,19.46685,19.51935,1.788779,QSO
24.13837,23.50769,22.24418,20.80315,19.88802,0.8317845,GALAXY
18.66167,18.56709,18.51384,18.45939,17.9401,0.3728182,QSO
19.83966,19.549,19.36275,19.15905,19.15566,1.748702,QSO
22.30405,21.42617,21.17934,21.29247,21.52086,2.611505,QSO
19.53467,19.38475,19.15521,18.93147,18.80223,1.430544,QSO
23.23028,22.15075,20.67105,19.676,19.18735,0.529408,GALAXY
22.01067,21.67943,21.58374,21.35605,20.98954,1.598365,QSO
19.53036,19.30676,19.65122,19.94323,20.12441,8.314956e-05,STAR
21.97202,21.86934,21.87828,21.53178,21.39675,2.181494,QSO
18.96931,17.72551,17.32722,17.17518,17.12468,-1.111679e-05,STAR
19.56508,17.55329,16.56339,16.07618,15.6932,0.08988986,GALAXY
20.2706,19.87192,19.76391,19.49447,19.42681,1.572561,QSO
21.53917,19.77617,18.3664,17.85732,17.48563,0.2181354,GALAXY
21.21909,21.32202,21.13345,21.1669,21.23608,1.338585,QSO
22.72055,22.1596,21.85263,21.39329,21.12754,0.7108967,QSO
19.20738,18.9534,19.14198,19.3114,19.64952,-0.0001049337,STAR
25.33464,22.07267,21.02046,20.59591,20.67997,0.004032246,STAR
23.41175,21.41014,19.388,17.4956,16.43644,-9.084113e-05,STAR
22.5722,21.39106,21.54539,21.23752,20.93796,2.43629,QSO
24.74791,23.38172,21.89289,20.56961,19.858,0.7208268,GALAXY
21.21072,20.01504,19.74122,19.65142,19.62003,-0.001032015,STAR
25.00058,22.44753,20.71938,19.83256,19.36687,0.5178353,GALAXY
21.82748,21.43876,21.47286,21.44289,22.0728,0.0001445535,STAR
22.11277,22.2095,21.89188,21.73126,21.77346,1.292115,QSO
24.12868,21.94442,20.10331,19.20119,18.78358,0.4811493,GALAXY
22.56716,24.12459,21.98305,20.69029,19.91203,0.8992414,GALAXY
24.19194,20.86794,20.28146,20.02268,19.98135,7.378536e-05,STAR
21.33487,20.35459,19.93622,19.84866,19.61084,2.459838,QSO
22.02569,21.18698,20.75382,20.59792,19.93014,0.0004945921,STAR
21.92739,21.57867,21.26464,20.78526,21.31037,1.732634,QSO
18.27869,17.05346,16.57732,16.38014,16.3208,7.548402e-05,STAR
26.46931,23.26789,21.06129,19.96748,19.09262,0.5983334,GALAXY
19.7013,18.36263,18.10645,18.02706,17.97467,-4.347757e-05,STAR
21.64051,21.6368,21.65074,21.27811,21.08832,1.856774,QSO
18.85183,18.64573,18.57313,18.48597,18.42341,1.940608,QSO
22.38796,21.93255,22.0782,21.79782,21.14082,0.224385,QSO
26.2411,22.58019,21.80865,20.5303,19.85105,0.5226623,QSO
24.20901,22.29505,20.62132,19.73063,19.10951,0.5471666,GALAXY
25.24952,22.62572,21.34664,20.26945,19.74987,0.4156327,GALAXY
20.79165,19.73825,19.30806,19.134,19.06877,1.075639,QSO
23.48078,21.82388,20.65443,19.57726,19.02433,-4.083792e-05,STAR
25.33758,23.40169,21.80617,20.72278,19.94542,9.92104e-05,STAR
21.93636,20.68819,20.32375,20.23503,20.38652,-9.347217e-05,STAR
21.90083,21.68202,21.37012,20.74577,20.59504,1.878671,QSO
23.99155,22.884,21.15083,20.13135,19.65021,0.516242,GALAXY
19.25426,18.09059,17.69098,17.53379,17.44084,-0.00116877,STAR
20.53188,19.39446,18.84363,18.73012,18.7046,0.3116694,QSO
22.66042,20.44405,18.86621,18.21302,17.94624,0.3247602,GALAXY
21.64705,20.6816,20.62192,20.56029,20.00084,2.322386,QSO
18.18547,16.57914,15.92512,15.68916,15.58076,-0.0001406827,STAR
16.96393,15.6985,15.38728,15.06077,15.00366,-0.0002261685,STAR
24.85639,24.45811,22.64459,21.14953,19.95578,6.564416e-07,STAR
19.4344,18.3113,18.11898,17.97303,17.98822,2.845897,QSO
21.78704,21.57207,21.64704,21.77193,20.86211,2.50213,QSO
21.50162,20.86123,20.75689,20.36627,20.02298,0.8631949,QSO
25.33702,21.68407,21.39462,21.69707,21.57059,3.152797,QSO
19.67606,18.44008,18.00724,17.86523,17.79731,0.0001548095,STAR
20.97738,20.35223,19.75981,19.65212,19.64717,1.037908,QSO
22.90914,21.54735,21.17424,20.81643,20.60504,3.176916,QSO
18.4767,17.40062,16.83623,16.4764,16.28722,0.0764234,GALAXY
25.16789,22.01003,21.4706,21.34417,21.29452,0.0004219647,STAR
21.56318,21.47865,21.24721,20.98659,21.48076,1.348172,QSO
23.61789,22.12356,20.54422,19.4332,19.17906,0.0001249229,STAR
25.7139,20.76276,19.20891,18.31577,17.78617,-0.0001957435,STAR
22.9767,21.89415,20.19828,19.40634,18.93614,0.4654225,GALAXY
25.15421,23.57913,21.70425,20.22827,19.41869,-0.0001337144,STAR
23.88545,22.21183,20.65132,19.56709,19.0244,0.5639941,GALAXY
20.17841,19.17446,18.71498,18.50457,18.43667,0.0005525263,STAR
24.18148,22.52701,20.79983,19.71122,19.32119,0.5567811,GALAXY
21.57307,21.12391,20.90767,20.96385,20.47427,1.179467,QSO
24.05928,23.13352,22.30476,21.40857,20.90445,0.9076685,GALAXY
19.8823,18.50305,17.86761,17.40371,17.25257,0.08750868,GALAXY
20.39526,18.44257,17.58412,17.24909,17.02896,5.213872e-05,STAR
18.63425,16.51474,15.68725,15.41356,15.28561,-0.0001057166,STAR
24.00294,21.25953,19.47902,18.49756,17.96549,0.5344706,GALAXY
16.49582,15.01989,14.51034,14.35541,14.31638,-0.0001087051,STAR
18.30154,17.35832,17.10313,17.00327,16.97431,0.000599294,STAR
26.33415,22.23927,20.39832,19.43539,19.14717,0.5656324,GALAXY
24.25051,21.56056,20.03409,19.16806,18.70801,0.489416,GALAXY
27.32846,21.32232,20.62558,20.51838,20.28732,-0.0001291462,STAR
22.24741,19.56829,18.42133,17.92336,17.69402,0.0002890253,STAR
22.80005,22.68171,21.09111,19.26521,18.19806,-0.0001021913,STAR
22.94884,22.03096,20.47416,19.425,18.81202,0.5527128,GALAXY
22.62352,20.95359,19.14111,18.49397,18.07475,0.3553476,GALAXY
23.32608,21.86419,21.27422,20.96897,20.5379,2.329271,QSO
19.99012,19.4495,19.28881,19.2863,19.01972,2.422378,QSO
19.42914,18.2557,17.75584,17.56583,17.46513,-0.0006113182,STAR
20.78897,20.74228,20.75705,20.51292,20.36439,1.960844,QSO
24.86688,22.61221,21.03054,19.82081,19.05383,-8.45223e-05,STAR
20.77746,20.36357,20.21173,20.06241,20.08976,1.438697,QSO
21.11082,20.52868,20.60556,20.63557,20.50424,2.183041,QSO
19.81742,16.64397,15.27167,14.68673,14.35589,0.0,GALAXY
24.43371,21.82983,20.28503,19.17044,18.54311,0.0003087462,STAR
19.29719,17.93134,17.38647,17.19915,17.12401,-3.620475e-05,STAR
23.50834,22.32467,20.69243,19.72178,19.2221,0.525789,GALAXY
22.55957,21.64339,20.35208,19.58332,19.16825,0.2839777,GALAXY
19.22351,18.19494,17.45815,17.03954,16.81792,0.2018095,GALAXY
21.47281,21.63895,21.33498,21.34084,21.44173,2.163709,QSO
18.96363,17.95109,17.61887,17.49593,17.45994,0.0003519089,STAR
26.36595,22.34018,20.31256,19.34636,18.71092,0.4950027,GALAXY
18.97175,17.87908,17.70812,17.68098,17.67256,-0.0003183571,STAR
19.55564,18.60287,18.25922,18.17017,18.05904,-0.000517574,STAR
23.28903,20.60217,18.81307,18.14071,17.7496,0.3340522,GALAXY
18.81459,17.85334,17.55811,17.45037,17.40147,0.0003966465,STAR
25.43854,20.57504,18.66562,18.00663,17.59427,0.3809068,GALAXY
20.83422,19.05932,17.55533,16.94584,16.54691,0.2258655,GALAXY
21.71781,21.12105,20.98915,20.6091,20.37661,1.816335,QSO
21.32495,20.28485,20.27327,20.35162,20.31486,-0.0002357493,STAR
21.62389,20.30591,20.16343,20.13544,20.02467,2.734643,QSO
24.16194,21.96857,22.18356,22.1333,22.05188,2.657141,QSO
24.63466,22.54493,21.4463,20.35735,22.82691,0.3987024,GALAXY
21.04204,18.93921,17.74635,17.2868,16.96207,0.1911557,GALAXY
23.45538,21.57581,20.03711,19.16719,18.72645,0.0001189923,STAR
22.56887,20.9113,19.15635,18.47986,18.00946,0.3566981,GALAXY
20.91201,19.5747,19.13892,18.96457,18.89337,-0.0001491145,STAR
18.12416,17.11466,16.97829,16.9434,16.97888,-0.0006709885,STAR
21.31137,20.19273,19.79561,19.65062,19.59526,-0.0002233607,STAR
20.1672,19.03277,18.5894,18.40494,18.31834,-0.0003362391,STAR
24.04741,21.84087,21.57126,21.23708,21.13035,2.867272,QSO
22.63021,20.65007,19.1225,18.24417,17.76347,-3.361118e-05,STAR
21.07067,20.00569,19.63818,19.40696,19.10021,-0.0009259107,STAR
23.01356,21.46625,20.82561,20.47223,20.58061,-0.0004035415,STAR
20.59509,20.42423,20.41045,20.28555,20.17602,1.518949,QSO
23.80515,22.83382,22.23396,22.00587,22.15851,0.236806,QSO
19.07561,18.80462,18.48592,18.38972,18.41746,1.134177,QSO
18.88363,18.01873,17.75681,17.67832,17.63709,-7.280405e-05,STAR
22.05933,19.87474,18.30712,17.66907,17.21033,0.239815,GALAXY
23.91167,22.47165,20.71064,19.87981,19.58696,0.5334861,GALAXY
21.02501,20.49832,20.43881,20.31903,20.27533,1.586177,QSO
21.06773,21.08096,20.89636,20.96503,20.33801,0.9943416,QSO
22.0321,21.95904,21.61285,21.58661,21.45523,1.206669,QSO
20.53128,18.81987,18.12095,17.87857,17.73397,2.753543e-05,STAR
24.13369,22.50234,21.18939,20.13162,19.70618,0.5092819,GALAXY
21.62097,21.13988,20.96703,20.83279,20.57023,0.8575637,QSO
21.18016,20.6618,20.28652,20.05569,19.69126,0.4060155,QSO
18.03736,16.33747,15.53314,15.1161,14.79418,0.0754552,GALAXY
24.62562,21.60407,20.26804,19.02973,18.33358,0.000239209,STAR
22.4037,22.38441,21.63216,21.7561,21.65629,0.0002144585,STAR
26.07144,21.81679,20.63581,19.78808,19.47783,0.5793298,GALAXY
25.4719,21.79201,20.68957,20.16984,19.82235,-9.886536e-05,STAR
23.78879,22.70458,22.38878,21.41757,20.91654,0.8773014,GALAXY
18.20498,16.93971,16.84351,16.83045,16.80947,-1.664955e-05,STAR
23.29545,21.18128,19.70573,18.96293,18.67553,0.4653685,GALAXY
20.88793,20.45318,20.32013,20.0845,20.20988,1.502031,QSO
22.59029,22.8732,21.33171,20.10617,19.73912,0.7135886,GALAXY
23.46926,21.41349,19.26968,18.5891,18.16188,0.4090521,GALAXY
21.17161,20.72526,20.40228,20.32896,20.16616,2.766146,QSO
20.74121,20.39413,20.26085,20.27909,20.01711,2.176877,QSO
21.96919,22.00004,21.95975,21.38806,21.6481,2.042846,QSO
25.12351,22.78605,20.69232,19.54409,18.95369,0.5979787,GALAXY
21.04755,20.91825,20.62874,20.58599,20.40252,0.9303405,QSO
21.11597,19.39932,18.44417,18.03193,17.74632,0.09214478,GALAXY
19.58975,18.5976,18.20867,18.11177,18.05206,0.0003418439,STAR
18.55306,16.84068,16.00961,15.58865,15.28599,0.06542233,GALAXY
26.92089,22.43851,20.9521,19.84586,19.42825,0.5189468,GALAXY
21.63875,21.07834,21.13828,21.21021,20.92715,-1.500803e-06,STAR
18.54329,17.69189,17.44967,17.25266,17.21826,0.1024895,GALAXY
19.44993,18.57083,18.26214,18.16135,18.12854,8.319432e-05,STAR
19.17019,17.46385,16.64578,16.24069,15.92044,0.05716049,GALAXY
20.91105,19.36575,18.56249,18.23374,18.03699,-0.000508881,STAR
21.82201,22.08688,21.56267,21.5388,21.4628,1.437521,QSO
22.93713,21.13662,20.56618,20.34364,20.05847,1.248297,QSO
17.90615,16.47935,15.86209,15.53426,15.30242,0.03133,GALAXY
18.55589,18.37752,18.15818,18.12815,18.15554,1.093492,QSO
23.10163,21.51545,21.24485,21.39754,21.2323,3.060433,QSO
18.59365,17.09314,16.5104,16.31777,16.23881,8.033447e-05,STAR
22.49432,20.04661,19.17552,18.82254,18.54662,-0.0003755763,GALAXY
23.00381,21.49013,20.40248,19.63141,19.66148,0.4783791,QSO
23.96614,22.51504,21.33797,20.28826,19.72302,0.7353423,GALAXY
23.32359,21.71756,20.08515,19.41746,19.10412,0.3037508,GALAXY
22.18713,21.1134,20.97024,20.87372,20.45755,2.571948,QSO
22.75185,21.70168,21.49237,21.54097,21.07332,2.723905,QSO
21.88708,21.21021,21.13775,21.13899,20.87158,2.254235,QSO
21.2014,20.80278,20.37263,20.09539,20.04734,1.523205,QSO
25.73689,22.15053,20.30607,19.27504,18.83903,0.5169367,GALAXY
22.45901,21.41915,20.50536,19.75213,19.17124,0.6086046,GALAXY
23.62477,22.56532,20.93444,19.80684,19.32123,0.5532058,GALAXY
20.99852,20.46007,20.42558,20.45645,20.4062,1.885054,QSO
22.77909,22.33046,20.56754,19.65309,19.14174,0.5263279,GALAXY
25.14246,22.72096,20.71441,19.84551,19.4896,0.4870667,GALAXY
22.65655,22.19889,20.31545,19.33245,18.88972,0.5131663,GALAXY
18.97501,17.18287,16.21287,15.77102,15.43932,0.1273547,GALAXY
24.2461,22.96284,22.49151,20.98703,19.92715,1.195484,GALAXY
22.16849,22.02088,21.6276,21.65408,20.96182,1.263375,QSO
24.42278,21.4314,21.04432,21.04719,21.09125,3.265541,QSO
21.61889,22.33896,21.6546,20.63182,19.91185,1.123048,QSO
25.73497,21.47454,20.10093,18.94915,18.33513,-0.0001135126,STAR
21.95286,20.50669,20.02524,20.06911,19.42253,-7.881719e-05,STAR
19.91682,18.15439,17.37757,17.04371,16.85485,-0.0003840417,STAR
23.84211,22.59534,21.0491,19.97335,19.64569,0.6021398,GALAXY
23.51043,22.30199,20.77164,19.95443,19.2698,-5.198566e-05,STAR
24.49926,21.39527,20.2657,19.46542,19.10793,0.2881785,GALAXY
21.5864,20.55175,20.23587,20.0559,19.85227,-0.0003314501,STAR
21.66266,21.0893,21.13782,21.0253,20.634,-0.0004093377,STAR
19.88532,17.60513,16.53213,16.12537,15.89323,0.0001257181,STAR
20.09184,19.14685,18.82656,18.71551,18.70025,-8.305393e-06,STAR
17.28784,16.36738,16.08973,15.97824,15.95835,-0.0001578841,STAR
24.97306,22.69743,21.4107,20.75552,20.41343,0.6958809,GALAXY
21.68278,21.44822,21.64766,21.69481,21.69935,0.03713963,GALAXY
23.6626,24.36591,24.12824,21.48678,19.66662,1.231267e-05,STAR
19.10546,17.68591,17.16687,16.95919,16.86819,-5.23061e-05,STAR
21.42336,21.19419,21.43318,21.07607,21.10426,1.986021,QSO
20.73752,19.68745,19.16057,18.97362,19.01414,-5.567692e-05,STAR
17.3103,16.42602,16.18681,16.08582,16.07715,-0.0001969057,STAR
25.16792,22.53948,20.66576,19.55396,19.17614,0.5365592,GALAXY
21.59163,21.42589,21.65341,21.39432,20.90382,1.79246,QSO
19.11953,17.49681,16.61076,16.11337,15.74726,0.07512396,GALAXY
21.42154,20.0837,19.52244,19.30997,19.24193,0.0001973633,STAR
22.31526,21.26923,21.11279,21.01062,20.73567,2.243646,QSO
22.54411,20.18987,18.63208,17.49994,16.88867,-7.890396e-05,STAR
20.08211,18.21354,17.34296,16.92448,16.62377,0.07814831,GALAXY
